Class,AvgCMC,Creatures,Lands,Instants,Sorcerys,Enchantments,Artifacts,Planeswalkers,Red,Blue,Black,White,Green
Aggro,2.138888889,21,24,7,0,0,14,4,14,0,4,8,0
Aggro,1.625,25,20,11,0,4,0,0,0,25,0,0,21
Aggro,1.75,20,20,13,3,4,0,0,0,57,0,0,0
Aggro,2.243243243,30,23,5,2,0,0,0,0,34,0,0,21
Aggro,1.9,27,20,2,0,9,0,2,0,0,0,55,0
Aggro,1.461538462,17,21,2,0,20,0,0,0,17,0,22,0
Aggro,2.055555556,23,24,12,0,0,4,1,33,0,0,0,0
Aggro,2.388888889,25,24,9,0,0,6,2,44,0,2,0,0
Aggro,2.194444444,27,24,9,0,0,4,0,35,0,0,0,0
Aggro,1.846153846,19,21,13,3,4,4,0,39,3,0,0,0
Aggro,2.081081081,25,23,6,0,0,14,0,17,0,6,8,0
Aggro,2.324324324,21,23,12,0,4,0,0,48,0,0,0,0
Aggro,2.27027027,37,23,0,0,0,0,0,0,22,0,0,26
Aggro,1.842105263,22,22,10,0,6,0,0,0,32,0,0,18
Aggro,2.25,26,20,2,0,12,0,0,0,0,0,52,0
Aggro,2.210526316,22,22,12,0,4,0,0,48,0,0,0,0
Aggro,2,21,22,12,3,2,0,0,46,0,0,0,0
Aggro,3.486486486,26,23,4,3,0,0,4,0,0,27,0,43
Aggro,2.564102564,12,21,15,12,0,0,0,28,31,4,0,0
Aggro,2.567567568,19,23,0,4,12,0,2,4,0,0,43,0
Aggro,2.351351351,20,23,2,4,11,0,0,12,0,0,37,0
Aggro,2.210526316,22,22,12,0,4,0,0,48,0,0,0,0
Aggro,2.135135135,25,23,9,1,0,10,0,9,0,23,0,0
Aggro,2.783783784,34,23,0,0,3,0,0,55,0,0,0,0
Aggro,2.5,12,20,13,15,0,0,0,31,29,6,0,0
Aggro,3.166666667,33,24,3,0,0,0,0,0,0,3,0,57
Aggro,2,26,24,10,0,0,4,0,32,0,0,0,0
Aggro,2.297297297,30,23,5,2,0,0,0,0,35,0,0,21
Aggro,1.75,20,20,13,3,4,0,0,0,57,0,0,0
Aggro,2.25,28,24,3,0,2,0,3,0,0,45,8,0
Aggro,2.342105263,26,22,0,0,10,0,2,0,0,0,55,0
Aggro,2.162162162,27,23,4,2,0,8,0,0,0,46,0,0
Aggro,2.179487179,22,21,15,0,2,0,0,49,0,0,0,0
Aggro,1.975,21,20,16,0,3,0,0,40,3,0,0,0
Aggro,1.925,28,20,6,2,0,8,0,0,0,36,0,0
Aggro,2.166666667,21,24,8,0,0,13,2,11,0,12,6,0
Aggro,2.189189189,22,23,8,7,0,4,0,24,0,0,0,24
Aggro,1.853658537,26,19,12,0,3,4,0,45,0,0,0,0
Aggro,2.743589744,15,21,16,8,0,0,0,26,34,8,0,0
Aggro,1.923076923,29,21,3,2,0,11,0,0,0,31,0,0
Aggro,1.794871795,20,21,13,2,4,0,0,0,55,0,0,0
Aggro,2.210526316,22,22,12,0,4,0,0,48,0,0,0,0
Aggro,2.25,26,24,10,0,0,8,0,38,0,0,0,0
Aggro,2.771428571,23,25,6,1,0,10,3,41,0,4,0,0
Aggro,2.25,26,24,9,1,0,4,0,34,0,0,0,0
Aggro,2.128205128,22,21,12,1,4,0,0,47,0,0,0,0
Aggro,2.027777778,26,24,10,0,0,4,0,32,0,0,0,0
Aggro,2.282051282,25,21,0,3,11,0,0,3,0,0,51,0
Aggro,2.742857143,24,25,4,2,0,10,3,40,0,6,0,0
Aggro,2.052631579,20,22,15,1,2,0,0,46,0,0,0,0
Aggro,2.052631579,25,22,8,0,3,4,2,36,0,0,6,0
Aggro,2.263157895,20,22,0,0,16,3,2,0,0,0,48,0
Aggro,1.974358974,24,21,6,3,0,10,0,0,0,42,0,0
Aggro,2.289473684,24,22,0,4,10,0,0,4,0,0,50,0
Aggro,1.75,20,20,13,3,4,0,0,0,57,0,0,0
Aggro,2.421052632,25,22,0,4,9,0,0,4,0,0,50,0
Aggro,2.184210526,16,22,0,8,8,10,0,0,0,0,40,0
Aggro,2.333333333,11,21,13,14,1,0,0,27,26,0,0,0
Aggro,2.277777778,26,24,10,0,0,3,0,44,0,0,0,0
